tick,timestamp,gas_read_ms,temp_read_ms,fusion_ms,actuation_ms,mqtt_publish_ms,total_loop_ms,budget_ok
644,14:52:35,0.029,0.002,0.036,0.012,0.003,0.084,True
645,14:52:35,0.025,0.002,0.028,0.011,0.002,0.07,True
646,14:52:35,0.022,0.001,0.033,0.01,0.002,0.07,True
647,14:52:35,0.022,0.002,0.024,0.012,0.002,0.063,True
648,14:52:35,0.021,0.001,0.025,0.01,0.002,0.061,True
649,14:52:35,0.017,0.001,0.02,0.011,0.002,0.052,True
650,14:52:35,0.016,0.001,0.028,0.009,0.002,0.105,True
651,14:52:35,0.045,0.004,0.055,0.034,0.004,0.144,True
652,14:52:35,0.038,0.003,0.056,0.017,0.003,0.119,True
653,14:52:35,0.023,0.001,0.03,0.011,0.002,0.069,True
654,14:52:36,0.024,0.002,5.091,0.012,0.002,5.133,True
655,14:52:36,0.027,0.002,10.157,0.02,0.003,10.209,True
656,14:52:36,0.019,0.001,0.023,0.009,0.002,0.055,True
657,14:52:36,0.016,0.001,0.018,0.009,0.002,0.046,True
658,14:52:36,0.015,0.001,0.016,0.007,0.001,0.041,True
659,14:52:36,0.012,0.001,0.022,0.007,0.001,0.043,True
660,14:52:36,0.011,0.001,0.011,0.008,0.001,0.064,True
661,14:52:36,0.037,0.003,0.045,0.012,0.003,0.101,True
662,14:52:36,0.018,0.001,0.021,0.008,0.001,0.051,True
663,14:52:36,0.013,0.001,0.024,0.007,0.001,0.048,True
664,14:52:37,0.017,0.001,0.021,0.007,0.002,0.049,True
665,14:52:37,0.012,0.001,0.021,0.008,0.001,0.044,True
666,14:52:37,0.013,0.001,0.014,0.008,0.001,0.038,True
667,14:52:37,0.015,0.001,0.019,0.008,0.002,0.045,True
668,14:52:37,0.015,0.001,0.017,0.008,0.002,0.044,True
669,14:52:37,0.014,0.001,0.015,0.007,0.002,0.04,True
670,14:52:37,0.013,0.001,0.014,0.023,0.002,0.114,True
671,14:52:37,0.043,0.003,0.063,0.026,0.003,0.14,True
672,14:52:37,0.028,0.002,0.029,0.011,0.002,0.074,True
673,14:52:37,0.021,0.002,0.021,0.009,0.002,0.056,True
674,14:52:38,0.025,0.002,0.028,0.01,0.002,0.067,True
675,14:52:38,0.017,0.001,0.018,0.008,0.002,0.047,True
676,14:52:38,0.019,0.001,0.021,0.008,0.002,0.052,True
677,14:52:38,0.016,0.001,5.076,5.091,0.002,10.187,True
678,14:52:38,0.015,0.001,0.018,0.009,0.002,0.045,True
679,14:52:38,0.016,0.001,0.014,0.007,0.002,0.041,True
680,14:52:38,0.014,0.001,0.025,0.022,0.002,0.123,True
681,14:52:38,0.033,0.003,0.039,0.012,0.002,0.091,True
682,14:52:38,0.022,0.003,0.026,0.009,0.002,0.064,True
683,14:52:38,0.023,0.002,0.023,0.008,0.002,0.059,True
684,14:52:39,0.025,0.012,0.04,0.024,0.003,0.105,True
685,14:52:39,0.022,0.002,0.023,0.009,0.002,0.058,True
686,14:52:39,0.023,0.002,0.023,0.009,0.002,0.059,True
687,14:52:39,0.019,0.001,0.017,0.008,0.002,0.047,True
688,14:52:39,0.018,0.001,0.018,0.008,0.002,0.048,True
689,14:52:39,0.016,0.001,0.015,0.007,0.002,0.042,True
690,14:52:39,0.013,0.001,0.014,0.022,0.002,0.114,True
691,14:52:39,0.036,0.003,0.039,0.012,0.003,0.094,True
692,14:52:39,0.024,0.002,0.025,0.009,0.002,0.063,True
693,14:52:40,0.017,0.001,0.021,0.008,0.002,0.05,True
694,14:52:40,0.027,0.002,0.027,0.01,0.003,0.07,True
