tick,timestamp,gas_read_ms,temp_read_ms,fusion_ms,vision_ms,actuation_ms,mqtt_publish_ms,total_loop_ms,budget_ok
1,13:35:00:036,0.047,0.007,0.106,0.003,0.071,0.06,0.3,TRUE
2,13:35:00:138,0.039,0.003,0.149,0.001,0.062,0.004,0.262,TRUE
3,13:35:00:240,0.021,0.002,0.089,0.001,0.051,0.002,0.168,TRUE
4,13:35:00:341,0.053,0.004,0.206,0.002,0.073,0.004,0.345,TRUE
5,13:35:00:441,0.035,0.002,0.138,0.002,0.075,0.004,0.259,TRUE
6,13:35:00:541,0.023,0.001,0.1,0.001,0.061,0.003,0.191,TRUE
7,13:35:00:641,0.038,0.003,0.143,0.001,0.067,0.004,0.257,TRUE
8,13:35:00:741,0.023,0.002,0.096,0.001,0.062,0.003,0.188,TRUE
9,13:35:00:841,0.02,0.002,0.087,0.001,0.049,0.002,0.162,TRUE
10,13:35:00:941,0.018,0.001,0.083,0.001,0.056,0.002,0.234,TRUE
11,13:35:01:041,0.062,0.006,0.257,0.002,0.063,0.005,0.4,TRUE
12,13:35:01:141,0.05,0.003,0.147,0.001,0.066,0.004,0.274,TRUE
13,13:35:01:241,0.026,0.002,0.097,0.001,0.063,0.003,0.193,TRUE
14,13:35:01:341,0.02,0.002,0.085,0.001,0.059,0.002,0.17,TRUE
15,13:35:01:441,0.017,0.001,0.083,0.001,0.06,0.002,0.166,TRUE
16,13:35:01:541,0.018,0.002,0.086,0.001,0.057,0.002,0.167,TRUE
17,13:35:01:641,0.028,0.002,0.112,0.001,0.061,0.003,0.209,TRUE
18,13:35:01:741,0.021,0.001,0.092,0.001,0.055,0.002,0.174,TRUE
19,13:35:01:841,0.019,0.002,0.086,0.001,0.059,0.002,0.171,TRUE
20,13:35:01:942,0.018,0.001,0.086,0.001,0.06,0.002,0.987,TRUE
21,13:35:02:042,0.046,0.003,0.2,0.002,0.083,0.004,0.341,TRUE
22,13:35:02:142,0.036,0.002,0.149,0.002,0.091,0.003,0.285,TRUE
23,13:35:02:242,0.023,0.002,0.109,0.001,0.079,0.003,0.219,TRUE
24,13:35:02:342,0.022,0.001,0.098,0.001,0.077,0.003,0.204,TRUE
25,13:35:02:474,0.02,0.001,10.209,0.001,15.27,0.003,25.507,TRUE
26,13:35:02:596,0.046,0.002,30.568,0.002,15.266,0.003,45.889,TRUE
27,13:35:02:686,0.033,0.001,30.469,0.001,3.18,0.005,33.69,TRUE
28,13:35:02:752,0.033,0.002,0.125,0.001,0.043,0.003,0.209,TRUE
29,13:35:02:852,0.032,0.001,0.128,0.001,0.068,0.003,0.236,TRUE
30,13:35:02:952,0.018,0.001,0.084,0.001,0.06,0.002,0.241,TRUE
31,13:35:03:052,0.032,0.003,0.128,0.001,0.04,0.003,0.208,TRUE
32,13:35:03:152,0.024,0.002,0.091,0.001,0.035,0.002,0.156,TRUE
33,13:35:03:253,0.027,0.002,0.117,0.001,0.06,0.003,0.212,TRUE
34,13:35:03:353,0.017,0.001,0.1,0.001,0.056,0.002,0.178,TRUE
35,13:35:03:453,0.021,0.001,0.076,0.001,0.054,0.002,0.156,TRUE
36,13:35:03:553,0.042,0.004,0.202,0.002,0.102,0.004,0.358,TRUE
37,13:35:03:653,0.026,0.001,0.087,0.001,0.062,0.002,0.18,TRUE
38,13:35:03:753,0.016,0.001,0.08,0.001,0.057,0.002,0.158,TRUE
39,13:35:03:853,0.022,0.001,0.074,0.001,0.056,0.002,0.157,TRUE
40,13:35:03:953,0.022,0.001,0.098,0.001,0.057,0.002,0.252,TRUE
41,13:35:04:053,0.037,0.002,0.161,0.002,0.07,0.003,0.277,TRUE
42,13:35:04:153,0.022,0.001,0.115,0.001,0.059,0.003,0.202,TRUE
43,13:35:04:253,0.023,0.001,0.079,0.001,0.063,0.002,0.17,TRUE
44,13:35:04:353,0.022,0.001,0.077,0.001,0.054,0.002,0.158,TRUE
45,13:35:04:453,0.025,0.001,0.083,0.001,0.049,0.002,0.161,TRUE
46,13:35:04:554,0.045,0.003,0.207,0.008,0.068,0.004,0.339,TRUE
47,13:35:04:653,0.023,0.002,0.124,0.001,0.07,0.003,0.224,TRUE
48,13:35:04:753,0.027,0.001,0.115,0.001,0.064,0.003,0.212,TRUE
49,13:35:04:911,0.026,0.008,30.449,0.001,25.374,0.003,55.862,TRUE
50,13:35:04:998,0.017,0.001,15.255,0.001,15.244,0.002,40.766,TRUE
51,13:35:05:058,0.043,0.002,0.178,0.002,0.067,0.004,0.298,TRUE
52,13:35:05:158,0.037,0.002,0.186,0.002,0.071,0.003,0.304,TRUE
53,13:35:05:258,0.031,0.001,0.123,0.001,0.07,0.003,0.232,TRUE
54,13:35:05:358,0.029,0.001,0.109,0.001,0.068,0.002,0.212,TRUE
55,13:35:05:458,0.026,0.001,0.107,0.001,0.062,0.002,0.2,TRUE
56,13:35:05:558,0.045,0.004,0.231,0.002,0.114,0.005,0.403,TRUE
57,13:35:05:658,0.03,0.001,0.118,0.001,0.065,0.003,0.22,TRUE
58,13:35:05:758,0.027,0.001,0.107,0.001,0.061,0.002,0.201,TRUE
59,13:35:05:858,0.018,0.001,0.08,0.001,0.059,0.002,0.161,TRUE
60,13:35:05:958,0.023,0.001,0.076,0.001,0.061,0.002,0.222,TRUE
61,13:35:06:058,0.034,0.003,0.161,0.001,0.064,0.003,0.267,TRUE
62,13:35:06:158,0.03,0.002,0.126,0.001,0.072,0.003,0.235,TRUE
63,13:35:06:258,0.027,0.001,0.114,0.001,0.062,0.003,0.21,TRUE
